,C,coef0,decision_function_shape,gamma,kernel,Accuracy
0,4.0,2.0,ovr,0.1,rbf,0.745545073375262
1,4.0,0.0,ovr,0.1,rbf,0.745545073375262
2,4.0,3.0,ovr,0.1,rbf,0.745545073375262
3,4.0,3.0,ovo,0.1,rbf,0.745545073375262
4,4.0,1.0,ovr,0.1,rbf,0.745545073375262
5,4.0,1.0,ovo,0.1,rbf,0.745545073375262
6,4.0,2.0,ovo,0.1,rbf,0.745545073375262
7,4.0,0.0,ovo,0.1,rbf,0.745545073375262
8,6.0,3.0,ovo,0.001,poly,0.7451956673654787
9,6.0,3.0,ovr,0.001,poly,0.7451956673654787
10,5.0,3.0,ovr,0.001,poly,0.7451956673654787
11,4.0,3.0,ovo,0.001,poly,0.7451956673654787
12,8.0,2.0,ovo,0.001,poly,0.7451956673654787
13,4.0,3.0,ovr,0.001,poly,0.7451956673654787
14,8.0,2.0,ovr,0.001,poly,0.7451956673654787
15,5.0,3.0,ovo,0.001,poly,0.7451956673654787
16,5.0,1.0,ovo,0.5,linear,0.7429682040531097
17,5.0,1.0,ovo,0.001,linear,0.7429682040531097
18,5.0,1.0,ovo,0.01,linear,0.7429682040531097
19,5.0,1.0,ovo,0.1,linear,0.7429682040531097
20,5.0,0.0,ovo,0.001,linear,0.7429682040531097
21,5.0,1.0,ovo,1.0,linear,0.7429682040531097
22,5.0,1.0,ovo,3.0,linear,0.7429682040531097
23,5.0,0.0,ovr,1.0,linear,0.7429682040531097
24,5.0,0.0,ovr,3.0,linear,0.7429682040531097
25,5.0,0.0,ovo,0.01,linear,0.7429682040531097
26,5.0,0.0,ovr,0.1,linear,0.7429682040531097
27,5.0,0.0,ovr,0.01,linear,0.7429682040531097
28,5.0,0.0,ovr,0.001,linear,0.7429682040531097
29,5.0,0.0,ovo,3.0,linear,0.7429682040531097
30,5.0,0.0,ovo,1.0,linear,0.7429682040531097
31,5.0,0.0,ovo,0.5,linear,0.7429682040531097
32,5.0,0.0,ovo,0.1,linear,0.7429682040531097
33,5.0,1.0,ovr,0.01,linear,0.7429682040531097
34,5.0,1.0,ovr,0.001,linear,0.7429682040531097
35,5.0,0.0,ovr,0.5,linear,0.7429682040531097
36,5.0,1.0,ovr,0.1,linear,0.7429682040531097
37,5.0,2.0,ovr,1.0,linear,0.7429682040531097
38,5.0,1.0,ovr,0.5,linear,0.7429682040531097
39,5.0,3.0,ovr,1.0,linear,0.7429682040531097
40,5.0,3.0,ovr,0.5,linear,0.7429682040531097
41,5.0,3.0,ovr,0.1,linear,0.7429682040531097
42,5.0,3.0,ovr,0.01,linear,0.7429682040531097
43,5.0,3.0,ovr,0.001,linear,0.7429682040531097
44,5.0,3.0,ovo,3.0,linear,0.7429682040531097
45,5.0,3.0,ovo,1.0,linear,0.7429682040531097
46,5.0,3.0,ovo,0.5,linear,0.7429682040531097
47,5.0,3.0,ovo,0.1,linear,0.7429682040531097
48,5.0,3.0,ovo,0.01,linear,0.7429682040531097
49,5.0,3.0,ovo,0.001,linear,0.7429682040531097
50,5.0,2.0,ovr,3.0,linear,0.7429682040531097
51,5.0,3.0,ovr,3.0,linear,0.7429682040531097
52,5.0,2.0,ovr,0.5,linear,0.7429682040531097
53,5.0,2.0,ovo,0.5,linear,0.7429682040531097
54,5.0,2.0,ovr,0.1,linear,0.7429682040531097
55,5.0,1.0,ovr,3.0,linear,0.7429682040531097
56,5.0,2.0,ovo,0.001,linear,0.7429682040531097
57,5.0,2.0,ovo,0.01,linear,0.7429682040531097
58,5.0,2.0,ovo,0.1,linear,0.7429682040531097
59,5.0,1.0,ovr,1.0,linear,0.7429682040531097
60,5.0,2.0,ovo,1.0,linear,0.7429682040531097
61,5.0,2.0,ovr,0.001,linear,0.7429682040531097
62,5.0,2.0,ovr,0.01,linear,0.7429682040531097
63,5.0,2.0,ovo,3.0,linear,0.7429682040531097
64,1.0,2.0,ovr,0.01,linear,0.7429245283018868
65,1.0,2.0,ovr,1.0,linear,0.7429245283018868
66,1.0,2.0,ovr,0.5,linear,0.7429245283018868
67,1.0,2.0,ovr,0.1,linear,0.7429245283018868
68,1.0,2.0,ovr,0.01,rbf,0.7429245283018868
69,1.0,2.0,ovo,3.0,linear,0.7429245283018868
70,1.0,2.0,ovr,0.001,linear,0.7429245283018868
71,1.0,2.0,ovo,1.0,linear,0.7429245283018868
72,1.0,2.0,ovo,0.5,linear,0.7429245283018868
73,1.0,2.0,ovo,0.1,linear,0.7429245283018868
74,1.0,3.0,ovo,0.001,linear,0.7429245283018868
75,1.0,2.0,ovo,0.01,rbf,0.7429245283018868
76,1.0,2.0,ovr,3.0,linear,0.7429245283018868
77,1.0,3.0,ovo,3.0,linear,0.7429245283018868
78,1.0,3.0,ovo,0.01,linear,0.7429245283018868
79,1.0,3.0,ovo,0.01,rbf,0.7429245283018868
80,1.0,3.0,ovo,0.1,linear,0.7429245283018868
81,1.0,3.0,ovo,0.5,linear,0.7429245283018868
82,1.0,3.0,ovo,1.0,linear,0.7429245283018868
83,1.0,3.0,ovr,0.001,linear,0.7429245283018868
84,1.0,3.0,ovr,0.01,linear,0.7429245283018868
85,1.0,3.0,ovr,0.01,rbf,0.7429245283018868
86,1.0,3.0,ovr,0.1,linear,0.7429245283018868
87,1.0,3.0,ovr,0.5,linear,0.7429245283018868
88,1.0,3.0,ovr,1.0,linear,0.7429245283018868
89,1.0,3.0,ovr,3.0,linear,0.7429245283018868
90,1.0,2.0,ovo,0.001,linear,0.7429245283018868
91,1.0,2.0,ovo,0.01,linear,0.7429245283018868
92,1.0,0.0,ovo,0.001,linear,0.7429245283018868
93,1.0,0.0,ovr,0.5,linear,0.7429245283018868
94,1.0,1.0,ovr,0.5,linear,0.7429245283018868
95,1.0,0.0,ovo,3.0,linear,0.7429245283018868
96,1.0,0.0,ovo,1.0,linear,0.7429245283018868
97,1.0,1.0,ovr,0.001,linear,0.7429245283018868
98,1.0,1.0,ovo,0.01,rbf,0.7429245283018868
99,1.0,1.0,ovo,1.0,linear,0.7429245283018868
100,1.0,1.0,ovo,3.0,linear,0.7429245283018868
101,1.0,0.0,ovo,0.01,linear,0.7429245283018868
102,1.0,1.0,ovo,0.5,linear,0.7429245283018868
103,1.0,1.0,ovo,0.01,linear,0.7429245283018868
104,1.0,1.0,ovo,0.1,linear,0.7429245283018868
105,1.0,0.0,ovo,0.1,linear,0.7429245283018868
106,1.0,1.0,ovr,1.0,linear,0.7429245283018868
107,1.0,0.0,ovr,1.0,linear,0.7429245283018868
108,1.0,1.0,ovr,0.1,linear,0.7429245283018868
109,1.0,0.0,ovr,0.1,linear,0.7429245283018868
110,1.0,1.0,ovo,0.001,linear,0.7429245283018868
111,1.0,0.0,ovo,0.01,rbf,0.7429245283018868
112,1.0,0.0,ovo,0.5,linear,0.7429245283018868
113,1.0,1.0,ovr,0.01,rbf,0.7429245283018868
114,1.0,0.0,ovr,3.0,linear,0.7429245283018868
115,1.0,0.0,ovr,0.01,rbf,0.7429245283018868
116,1.0,0.0,ovr,0.001,linear,0.7429245283018868
117,1.0,1.0,ovr,3.0,linear,0.7429245283018868
118,1.0,1.0,ovr,0.01,linear,0.7429245283018868
119,1.0,0.0,ovr,0.01,linear,0.7429245283018868
120,3.0,3.0,ovo,0.001,poly,0.742837176799441
121,7.0,3.0,ovr,0.001,poly,0.742837176799441
122,8.0,3.0,ovr,0.001,poly,0.742837176799441
123,8.0,3.0,ovo,0.001,poly,0.742837176799441
124,7.0,2.0,ovo,0.001,poly,0.742837176799441
125,7.0,3.0,ovo,0.001,poly,0.742837176799441
126,3.0,3.0,ovr,0.001,poly,0.742837176799441
127,7.0,2.0,ovr,0.001,poly,0.742837176799441
128,4.0,1.0,ovr,0.01,linear,0.7406533892382949
129,4.0,2.0,ovr,0.5,linear,0.7406533892382949
130,4.0,1.0,ovr,3.0,linear,0.7406533892382949
131,4.0,1.0,ovr,0.5,linear,0.7406533892382949
132,4.0,2.0,ovr,1.0,linear,0.7406533892382949
133,4.0,2.0,ovo,0.001,linear,0.7406533892382949
134,4.0,1.0,ovr,0.1,linear,0.7406533892382949
135,4.0,0.0,ovo,0.01,linear,0.7406533892382949
136,4.0,1.0,ovr,0.001,linear,0.7406533892382949
137,4.0,2.0,ovo,0.01,linear,0.7406533892382949
138,4.0,2.0,ovo,1.0,linear,0.7406533892382949
139,4.0,2.0,ovr,0.1,linear,0.7406533892382949
140,4.0,2.0,ovr,0.01,linear,0.7406533892382949
141,4.0,2.0,ovo,0.1,linear,0.7406533892382949
142,4.0,2.0,ovo,0.5,linear,0.7406533892382949
143,4.0,0.0,ovo,0.001,linear,0.7406533892382949
144,4.0,2.0,ovr,0.001,linear,0.7406533892382949
145,4.0,2.0,ovo,3.0,linear,0.7406533892382949
146,4.0,0.0,ovo,0.1,linear,0.7406533892382949
147,4.0,2.0,ovr,3.0,linear,0.7406533892382949
148,4.0,0.0,ovr,3.0,linear,0.7406533892382949
149,4.0,3.0,ovo,0.001,linear,0.7406533892382949
150,4.0,3.0,ovr,0.01,linear,0.7406533892382949
151,4.0,0.0,ovr,1.0,linear,0.7406533892382949
152,4.0,0.0,ovo,0.5,linear,0.7406533892382949
153,4.0,1.0,ovo,0.001,linear,0.7406533892382949
154,4.0,1.0,ovo,0.01,linear,0.7406533892382949
155,4.0,3.0,ovr,3.0,linear,0.7406533892382949
156,4.0,0.0,ovr,0.1,linear,0.7406533892382949
157,4.0,1.0,ovo,0.1,linear,0.7406533892382949
158,4.0,3.0,ovo,0.01,linear,0.7406533892382949
159,4.0,3.0,ovr,1.0,linear,0.7406533892382949
160,4.0,3.0,ovr,0.5,linear,0.7406533892382949
161,4.0,3.0,ovr,0.1,linear,0.7406533892382949
162,4.0,0.0,ovr,0.01,linear,0.7406533892382949
163,4.0,0.0,ovr,0.5,linear,0.7406533892382949
164,4.0,3.0,ovr,0.001,linear,0.7406533892382949
165,4.0,3.0,ovo,1.0,linear,0.7406533892382949
166,4.0,0.0,ovo,3.0,linear,0.7406533892382949
167,4.0,1.0,ovo,3.0,linear,0.7406533892382949
168,4.0,1.0,ovr,1.0,linear,0.7406533892382949
169,4.0,3.0,ovo,0.1,linear,0.7406533892382949
170,4.0,3.0,ovo,0.5,linear,0.7406533892382949
171,4.0,0.0,ovo,1.0,linear,0.7406533892382949
172,4.0,0.0,ovr,0.001,linear,0.7406533892382949
173,4.0,3.0,ovo,3.0,linear,0.7406533892382949
174,4.0,1.0,ovo,1.0,linear,0.7406533892382949
175,4.0,1.0,ovo,0.5,linear,0.7406533892382949
176,5.0,2.0,ovr,0.01,poly,0.740609713487072
177,2.0,0.0,ovo,0.01,linear,0.740609713487072
178,2.0,0.0,ovo,0.1,linear,0.740609713487072
179,2.0,1.0,ovo,0.01,linear,0.740609713487072
180,2.0,0.0,ovr,3.0,linear,0.740609713487072
181,2.0,0.0,ovo,0.5,linear,0.740609713487072
182,2.0,0.0,ovr,1.0,linear,0.740609713487072
183,2.0,0.0,ovr,0.5,linear,0.740609713487072
184,2.0,0.0,ovr,0.1,linear,0.740609713487072
185,2.0,0.0,ovr,0.01,linear,0.740609713487072
186,2.0,1.0,ovo,1.0,linear,0.740609713487072
187,2.0,0.0,ovo,1.0,linear,0.740609713487072
188,2.0,1.0,ovo,0.1,linear,0.740609713487072
189,2.0,0.0,ovr,0.001,linear,0.740609713487072
190,2.0,0.0,ovo,3.0,linear,0.740609713487072
191,2.0,1.0,ovo,0.5,linear,0.740609713487072
192,2.0,1.0,ovo,3.0,linear,0.740609713487072
193,2.0,1.0,ovo,0.001,linear,0.740609713487072
194,2.0,2.0,ovo,3.0,linear,0.740609713487072
195,2.0,2.0,ovr,0.5,linear,0.740609713487072
196,2.0,3.0,ovr,0.01,linear,0.740609713487072
197,2.0,2.0,ovo,1.0,linear,0.740609713487072
198,2.0,0.0,ovo,0.001,linear,0.740609713487072
199,2.0,2.0,ovr,0.001,linear,0.740609713487072
200,2.0,2.0,ovr,0.01,linear,0.740609713487072
201,2.0,2.0,ovr,0.1,linear,0.740609713487072
202,2.0,2.0,ovr,1.0,linear,0.740609713487072
203,5.0,2.0,ovo,0.01,poly,0.740609713487072
204,2.0,2.0,ovr,3.0,linear,0.740609713487072
205,2.0,3.0,ovo,0.001,linear,0.740609713487072
206,2.0,3.0,ovo,0.01,linear,0.740609713487072
207,2.0,3.0,ovo,0.1,linear,0.740609713487072
208,2.0,3.0,ovo,0.5,linear,0.740609713487072
209,2.0,3.0,ovo,1.0,linear,0.740609713487072
210,2.0,3.0,ovr,0.001,linear,0.740609713487072
211,2.0,2.0,ovo,0.5,linear,0.740609713487072
212,2.0,1.0,ovr,0.5,linear,0.740609713487072
213,2.0,1.0,ovr,1.0,linear,0.740609713487072
214,2.0,3.0,ovr,3.0,linear,0.740609713487072
215,2.0,1.0,ovr,0.001,linear,0.740609713487072
216,2.0,3.0,ovr,1.0,linear,0.740609713487072
217,2.0,1.0,ovr,0.01,linear,0.740609713487072
218,2.0,1.0,ovr,0.1,linear,0.740609713487072
219,2.0,2.0,ovo,0.1,linear,0.740609713487072
220,2.0,3.0,ovo,3.0,linear,0.740609713487072
221,2.0,3.0,ovr,0.5,linear,0.740609713487072
222,2.0,3.0,ovr,0.1,linear,0.740609713487072
223,2.0,1.0,ovr,3.0,linear,0.740609713487072
224,2.0,2.0,ovo,0.001,linear,0.740609713487072
225,2.0,2.0,ovo,0.01,linear,0.740609713487072
226,4.0,3.0,ovr,0.01,poly,0.7406097134870719
227,4.0,3.0,ovo,0.01,poly,0.7406097134870719
228,2.0,0.0,ovr,0.01,sigmoid,0.7405660377358491
229,2.0,0.0,ovo,0.01,sigmoid,0.7405660377358491
230,6.0,2.0,ovr,0.01,poly,0.7405660377358491
231,6.0,2.0,ovo,0.01,poly,0.7405660377358491
232,2.0,3.0,ovr,0.001,poly,0.7404786862334032
233,5.0,2.0,ovr,0.001,poly,0.7404786862334032
234,2.0,3.0,ovo,0.001,poly,0.7404786862334032
235,5.0,2.0,ovo,0.001,poly,0.7404786862334032
236,6.0,2.0,ovr,0.001,poly,0.7404786862334032
237,4.0,2.0,ovr,0.001,poly,0.7404786862334032
238,4.0,2.0,ovo,0.001,poly,0.7404786862334032
239,6.0,2.0,ovo,0.001,poly,0.7404786862334032
240,5.0,3.0,ovr,0.1,rbf,0.7384696016771488
241,5.0,3.0,ovo,0.1,rbf,0.7384696016771488
242,5.0,2.0,ovo,0.1,rbf,0.7384696016771488
243,5.0,1.0,ovo,0.1,rbf,0.7384696016771488
244,5.0,0.0,ovo,0.1,rbf,0.7384696016771488
245,5.0,2.0,ovr,0.1,rbf,0.7384696016771488
246,5.0,0.0,ovr,0.1,rbf,0.7384696016771488
247,5.0,1.0,ovr,0.1,rbf,0.7384696016771488
248,7.0,1.0,ovr,0.01,poly,0.73833857442348
249,7.0,3.0,ovo,0.01,poly,0.73833857442348
250,7.0,3.0,ovr,0.01,poly,0.73833857442348
251,7.0,1.0,ovo,0.01,poly,0.73833857442348
252,6.0,3.0,ovo,0.01,rbf,0.7382948986722572
253,6.0,0.0,ovo,0.01,rbf,0.7382948986722572
254,6.0,3.0,ovr,0.01,rbf,0.7382948986722572
255,6.0,2.0,ovr,0.01,rbf,0.7382948986722572
256,6.0,2.0,ovo,0.01,rbf,0.7382948986722572
257,6.0,1.0,ovr,0.01,rbf,0.7382948986722572
258,6.0,1.0,ovo,0.01,rbf,0.7382948986722572
259,6.0,0.0,ovr,0.01,rbf,0.7382948986722572
260,8.0,1.0,ovr,0.001,rbf,0.7382075471698113
261,5.0,1.0,ovo,0.001,poly,0.7382075471698113
262,8.0,2.0,ovr,0.001,rbf,0.7382075471698113
263,6.0,1.0,ovr,0.001,poly,0.7382075471698113
264,8.0,0.0,ovo,0.001,rbf,0.7382075471698113
265,8.0,1.0,ovo,0.001,rbf,0.7382075471698113
266,8.0,3.0,ovo,0.001,rbf,0.7382075471698113
267,8.0,2.0,ovo,0.001,rbf,0.7382075471698113
268,8.0,0.0,ovr,0.001,rbf,0.7382075471698113
269,8.0,3.0,ovr,0.001,rbf,0.7382075471698113
270,5.0,1.0,ovr,0.001,poly,0.7382075471698113
271,6.0,1.0,ovo,0.001,poly,0.7382075471698113
272,6.0,3.0,ovo,0.01,poly,0.7360674353598882
273,8.0,2.0,ovr,0.01,poly,0.7360674353598882
274,8.0,2.0,ovo,0.01,poly,0.7360674353598882
275,6.0,3.0,ovr,0.01,poly,0.7360674353598882
276,5.0,1.0,ovr,0.01,poly,0.7360237596086652
277,6.0,0.0,ovo,3.0,linear,0.7360237596086652
278,6.0,0.0,ovo,0.001,linear,0.7360237596086652
279,6.0,3.0,ovo,0.1,linear,0.7360237596086652
280,5.0,1.0,ovo,0.01,poly,0.7360237596086652
281,6.0,0.0,ovo,0.01,linear,0.7360237596086652
282,6.0,1.0,ovr,0.1,linear,0.7360237596086652
283,6.0,0.0,ovr,0.01,linear,0.7360237596086652
284,6.0,3.0,ovr,0.001,linear,0.7360237596086652
285,6.0,3.0,ovo,0.5,linear,0.7360237596086652
286,6.0,0.0,ovo,0.5,linear,0.7360237596086652
287,6.0,0.0,ovo,1.0,linear,0.7360237596086652
288,6.0,1.0,ovr,0.001,linear,0.7360237596086652
289,6.0,3.0,ovr,0.1,linear,0.7360237596086652
290,6.0,0.0,ovr,0.001,linear,0.7360237596086652
291,6.0,1.0,ovo,1.0,linear,0.7360237596086652
292,6.0,3.0,ovo,3.0,linear,0.7360237596086652
293,6.0,1.0,ovr,0.01,linear,0.7360237596086652
294,6.0,0.0,ovo,0.1,linear,0.7360237596086652
295,6.0,3.0,ovo,1.0,linear,0.7360237596086652
296,6.0,1.0,ovo,0.5,linear,0.7360237596086652
297,6.0,1.0,ovo,0.1,linear,0.7360237596086652
298,6.0,1.0,ovr,0.5,linear,0.7360237596086652
299,6.0,2.0,ovr,0.001,linear,0.7360237596086652
300,6.0,2.0,ovr,0.5,linear,0.7360237596086652
301,6.0,0.0,ovr,1.0,linear,0.7360237596086652
302,6.0,2.0,ovo,0.001,linear,0.7360237596086652
303,6.0,2.0,ovr,0.1,linear,0.7360237596086652
304,6.0,1.0,ovo,0.001,linear,0.7360237596086652
305,6.0,2.0,ovr,0.01,linear,0.7360237596086652
306,6.0,2.0,ovo,3.0,linear,0.7360237596086652
307,6.0,0.0,ovr,0.5,linear,0.7360237596086652
308,6.0,2.0,ovo,0.01,linear,0.7360237596086652
309,6.0,2.0,ovo,1.0,linear,0.7360237596086652
310,6.0,2.0,ovo,0.5,linear,0.7360237596086652
311,6.0,3.0,ovr,3.0,linear,0.7360237596086652
312,6.0,0.0,ovr,3.0,linear,0.7360237596086652
313,6.0,2.0,ovo,0.1,linear,0.7360237596086652
314,6.0,3.0,ovr,1.0,linear,0.7360237596086652
315,6.0,1.0,ovo,3.0,linear,0.7360237596086652
316,6.0,2.0,ovr,1.0,linear,0.7360237596086652
317,6.0,1.0,ovo,0.01,linear,0.7360237596086652
318,6.0,3.0,ovr,0.01,linear,0.7360237596086652
319,6.0,3.0,ovo,0.01,linear,0.7360237596086652
320,6.0,0.0,ovr,0.1,linear,0.7360237596086652
321,6.0,3.0,ovr,0.5,linear,0.7360237596086652
322,6.0,3.0,ovo,0.001,linear,0.7360237596086652
323,6.0,2.0,ovr,3.0,linear,0.7360237596086652
324,6.0,1.0,ovr,1.0,linear,0.7360237596086652
325,6.0,1.0,ovr,3.0,linear,0.7360237596086652
326,3.0,0.0,ovr,1.0,linear,0.7359800838574424
327,3.0,1.0,ovr,0.001,linear,0.7359800838574424
328,3.0,1.0,ovo,0.5,linear,0.7359800838574424
329,3.0,1.0,ovo,0.01,linear,0.7359800838574424
330,3.0,1.0,ovo,3.0,linear,0.7359800838574424
331,3.0,1.0,ovo,0.001,linear,0.7359800838574424
332,8.0,1.0,ovr,0.01,poly,0.7359800838574424
333,3.0,0.0,ovr,0.01,linear,0.7359800838574424
334,3.0,0.0,ovr,3.0,linear,0.7359800838574424
335,3.0,0.0,ovr,0.1,linear,0.7359800838574424
336,3.0,0.0,ovo,0.001,linear,0.7359800838574424
337,3.0,0.0,ovr,0.5,linear,0.7359800838574424
338,3.0,0.0,ovo,1.0,linear,0.7359800838574424
339,3.0,1.0,ovo,0.1,linear,0.7359800838574424
340,3.0,0.0,ovo,0.01,linear,0.7359800838574424
341,3.0,1.0,ovo,1.0,linear,0.7359800838574424
342,3.0,0.0,ovo,3.0,linear,0.7359800838574424
343,3.0,0.0,ovr,0.001,linear,0.7359800838574424
344,2.0,2.0,ovr,0.01,poly,0.7359800838574424
345,3.0,1.0,ovr,0.01,linear,0.7359800838574424
346,3.0,3.0,ovo,1.0,linear,0.7359800838574424
347,2.0,2.0,ovo,0.01,poly,0.7359800838574424
348,3.0,1.0,ovr,0.1,linear,0.7359800838574424
349,3.0,3.0,ovo,0.001,linear,0.7359800838574424
350,4.0,2.0,ovr,0.01,poly,0.7359800838574424
351,3.0,3.0,ovo,0.01,linear,0.7359800838574424
352,3.0,3.0,ovo,0.1,linear,0.7359800838574424
353,3.0,3.0,ovo,0.5,linear,0.7359800838574424
354,3.0,3.0,ovo,3.0,linear,0.7359800838574424
355,3.0,2.0,ovr,1.0,linear,0.7359800838574424
356,3.0,3.0,ovr,0.001,linear,0.7359800838574424
357,4.0,2.0,ovo,0.01,poly,0.7359800838574424
358,3.0,3.0,ovr,0.01,linear,0.7359800838574424
359,3.0,3.0,ovr,0.1,linear,0.7359800838574424
360,3.0,3.0,ovr,0.5,linear,0.7359800838574424
361,3.0,3.0,ovr,1.0,linear,0.7359800838574424
362,3.0,3.0,ovr,3.0,linear,0.7359800838574424
363,3.0,2.0,ovr,3.0,linear,0.7359800838574424
364,3.0,0.0,ovo,0.1,linear,0.7359800838574424
365,8.0,1.0,ovo,0.01,poly,0.7359800838574424
366,3.0,1.0,ovr,1.0,linear,0.7359800838574424
367,3.0,1.0,ovr,0.5,linear,0.7359800838574424
368,3.0,1.0,ovr,3.0,linear,0.7359800838574424
369,3.0,2.0,ovo,0.001,linear,0.7359800838574424
370,3.0,2.0,ovo,0.01,linear,0.7359800838574424
371,3.0,2.0,ovr,0.5,linear,0.7359800838574424
372,3.0,2.0,ovo,0.1,linear,0.7359800838574424
373,3.0,2.0,ovo,0.5,linear,0.7359800838574424
374,3.0,2.0,ovo,1.0,linear,0.7359800838574424
375,3.0,0.0,ovo,0.5,linear,0.7359800838574424
376,3.0,2.0,ovo,3.0,linear,0.7359800838574424
377,3.0,2.0,ovr,0.001,linear,0.7359800838574424
378,3.0,2.0,ovr,0.01,linear,0.7359800838574424
379,3.0,2.0,ovr,0.1,linear,0.7359800838574424
380,3.0,3.0,ovo,0.01,poly,0.7359364081062194
381,3.0,3.0,ovr,0.01,poly,0.7359364081062194
382,4.0,1.0,ovr,0.001,poly,0.7358490566037735
