,criterion,max_depth,max_features,min_impurity_decrease,splitter,Accuracy
0,entropy,4.0,,0.0,best,0.8176100628930817
1,gini,5.0,,0.0,best,0.8152952480782669
2,gini,3.0,,0.0,random,0.8152515723270439
3,entropy,5.0,,0.0,best,0.8128930817610063
4,entropy,3.0,,0.0,best,0.8128930817610063
5,gini,3.0,,0.0,best,0.8106656184486374
6,gini,4.0,,0.0,best,0.8105345911949685
7,gini,10.0,,0.0,best,0.8104909154437456
8,entropy,3.0,,0.0,random,0.8083071278825995
9,entropy,10.0,,0.0,best,0.8059049615653389
10,gini,10.0,1,0.0,best,0.7966457023060797
11,gini,5.0,,0.0,random,0.7965146750524108
12,gini,4.0,,0.0,random,0.7941561844863732
13,entropy,5.0,,0.0,random,0.7918850454227813
14,entropy,4.0,,0.0,random,0.7872554157931517
15,gini,10.0,10,0.0,best,0.7803109713487072
16,entropy,10.0,10,0.0,random,0.7733665269042628
17,gini,,1,0.0,best,0.7731481481481481
18,gini,10.0,,0.0,random,0.7686495457721874
19,entropy,,10,0.0,random,0.7684311670160726
20,entropy,5.0,10,0.0,best,0.7640199161425577
21,entropy,10.0,,0.0,random,0.7638452131376661
22,entropy,,,0.0,best,0.763845213137666
23,entropy,10.0,10,0.0,best,0.7592155835080363
24,entropy,10.0,1,0.0,best,0.7590845562543675
25,gini,10.0,sqrt,0.0,best,0.7569881201956674
26,gini,10.0,auto,0.0,best,0.7569881201956674
27,gini,,,0.0,best,0.7568134171907757
28,gini,10.0,auto,0.0,random,0.7545859538784067
29,gini,10.0,sqrt,0.0,random,0.7545859538784067
30,gini,10.0,log2,0.0,random,0.7524021663172606
31,gini,10.0,log2,0.0,best,0.750043675751223
32,gini,5.0,10,0.0,best,0.75
33,gini,,10,0.0,best,0.7476851851851852
34,entropy,,sqrt,0.0,best,0.7407844164919637
35,entropy,,auto,0.0,best,0.7407844164919637
36,gini,5.0,10,0.0,random,0.7404786862334032
37,gini,,,0.0,random,0.7382948986722572
38,entropy,,10,0.0,best,0.7359364081062194
39,entropy,10.0,sqrt,0.0,random,0.7337962962962963
40,entropy,10.0,auto,0.0,random,0.7337962962962963
41,gini,,auto,0.0,best,0.7335779175401816
42,gini,,sqrt,0.0,best,0.7335779175401816
43,gini,10.0,10,0.0,random,0.73340321453529
44,entropy,5.0,10,0.0,random,0.7312631027253669
45,entropy,,log2,0.0,best,0.7312631027253669
46,entropy,,,0.0,random,0.728991963661775
47,entropy,,1,0.0,best,0.7288609364081062
48,gini,,log2,0.0,best,0.7288609364081062
49,gini,,log2,0.0,random,0.7287735849056604
50,entropy,,auto,0.0,random,0.7265024458420685
51,entropy,,sqrt,0.0,random,0.7265024458420685
52,entropy,4.0,10,0.0,best,0.7243186582809225
53,entropy,,log2,0.0,random,0.724012928022362
54,gini,4.0,10,0.0,best,0.7196890286512928
55,gini,3.0,10,0.0,best,0.7196890286512928
56,gini,5.0,sqrt,0.0,best,0.7194706498951782
57,gini,5.0,auto,0.0,best,0.7194706498951782
58,gini,,10,0.0,random,0.7192085953878407
59,entropy,5.0,log2,0.0,random,0.717330538085255
60,gini,5.0,log2,0.0,random,0.7151030747728861
61,entropy,5.0,log2,0.0,best,0.7151030747728861
62,entropy,10.0,auto,0.0,best,0.7124825296995108
63,entropy,10.0,sqrt,0.0,best,0.7124825296995108
64,gini,,sqrt,0.0,random,0.7102550663871419
65,gini,,auto,0.0,random,0.7102550663871419
66,entropy,3.0,10,0.0,random,0.7078529000698812
67,gini,4.0,1,0.0,best,0.7078529000698812
68,entropy,4.0,log2,0.0,random,0.7056254367575122
69,gini,3.0,10,0.0,random,0.7055380852550663
70,entropy,3.0,10,0.0,best,0.7054944095038435
71,gini,3.0,log2,0.0,random,0.7033979734451433
72,gini,5.0,log2,0.0,best,0.7033979734451432
73,entropy,3.0,log2,0.0,random,0.7032669461914745
74,gini,5.0,auto,0.0,random,0.7031359189378057
75,gini,5.0,sqrt,0.0,random,0.7031359189378057
76,gini,3.0,log2,0.0,best,0.7009958071278826
77,gini,4.0,log2,0.0,random,0.7008647798742138
78,gini,5.0,1,0.0,best,0.700777428371768
79,entropy,10.0,log2,0.0,best,0.6986373165618448
80,gini,4.0,log2,0.0,best,0.6962351502445843
81,entropy,4.0,log2,0.0,best,0.6962351502445843
82,entropy,4.0,10,0.0,random,0.6961914744933613
83,entropy,4.0,sqrt,0.0,random,0.6959730957372466
84,entropy,4.0,auto,0.0,random,0.6959730957372466
85,entropy,3.0,log2,0.0,best,0.6940076869322152
86,entropy,5.0,auto,0.0,best,0.6939203354297694
87,entropy,5.0,sqrt,0.0,best,0.6939203354297694
88,entropy,10.0,log2,0.0,random,0.6937019566736548
89,entropy,4.0,1,0.0,best,0.6914744933612857
90,entropy,5.0,auto,0.0,random,0.691430817610063
91,entropy,5.0,sqrt,0.0,random,0.691430817610063
92,gini,4.0,sqrt,0.0,best,0.6892907058001397
93,gini,4.0,auto,0.0,best,0.6892907058001397
94,gini,4.0,auto,0.0,random,0.6867138364779873
95,gini,4.0,sqrt,0.0,random,0.6867138364779873
96,entropy,5.0,1,0.0,best,0.6866701607267645
97,gini,3.0,sqrt,0.0,best,0.6849668064290706
98,gini,3.0,auto,0.0,best,0.6849668064290706
99,gini,4.0,10,0.0,random,0.6843553459119496
100,entropy,3.0,sqrt,0.0,best,0.68256464011181
101,entropy,3.0,auto,0.0,best,0.68256464011181
102,entropy,4.0,auto,0.0,best,0.6777166317260657
103,entropy,4.0,sqrt,0.0,best,0.6777166317260657
104,gini,3.0,1,0.0,best,0.6705538085255066
105,entropy,3.0,1,0.0,best,0.6681953179594688
106,gini,,1,0.0,random,0.6561408106219426
107,entropy,,1,0.0,random,0.6561408106219426
108,gini,3.0,sqrt,0.0,random,0.6353511530398324
109,gini,3.0,auto,0.0,random,0.6353511530398324
110,entropy,10.0,1,0.0,random,0.6166579315164221
111,gini,10.0,1,0.0,random,0.6166579315164221
112,gini,5.0,1,0.0,random,0.6097571628232006
113,entropy,5.0,1,0.0,random,0.6097571628232006
114,entropy,3.0,auto,0.0,random,0.6074860237596087
115,entropy,3.0,sqrt,0.0,random,0.6074860237596087
116,entropy,5.0,,5.0,random,0.5841194968553458
117,entropy,5.0,auto,5.0,best,0.5841194968553458
118,entropy,5.0,auto,2.0,best,0.5841194968553458
119,entropy,5.0,auto,2.0,random,0.5841194968553458
120,entropy,5.0,auto,3.0,best,0.5841194968553458
121,entropy,5.0,auto,3.0,random,0.5841194968553458
122,entropy,5.0,auto,4.0,best,0.5841194968553458
123,entropy,5.0,auto,4.0,random,0.5841194968553458
124,entropy,5.0,auto,5.0,random,0.5841194968553458
125,entropy,5.0,sqrt,2.0,random,0.5841194968553458
126,gini,3.0,log2,5.0,random,0.5841194968553458
127,gini,3.0,log2,5.0,best,0.5841194968553458
128,entropy,5.0,1,3.0,best,0.5841194968553458
129,entropy,5.0,1,2.0,random,0.5841194968553458
130,entropy,5.0,sqrt,1.0,best,0.5841194968553458
131,entropy,5.0,sqrt,1.0,random,0.5841194968553458
132,entropy,5.0,auto,1.0,random,0.5841194968553458
133,entropy,5.0,auto,1.0,best,0.5841194968553458
134,gini,3.0,,1.0,best,0.5841194968553458
135,gini,3.0,,1.0,random,0.5841194968553458
136,entropy,5.0,1,3.0,random,0.5841194968553458
137,entropy,4.0,10,5.0,random,0.5841194968553458
138,entropy,4.0,10,5.0,best,0.5841194968553458
139,entropy,5.0,1,4.0,best,0.5841194968553458
140,entropy,4.0,10,4.0,random,0.5841194968553458
141,entropy,4.0,10,4.0,best,0.5841194968553458
142,entropy,5.0,1,4.0,random,0.5841194968553458
143,entropy,4.0,10,3.0,random,0.5841194968553458
144,entropy,4.0,10,3.0,best,0.5841194968553458
145,entropy,4.0,10,2.0,random,0.5841194968553458
146,entropy,4.0,10,2.0,best,0.5841194968553458
147,entropy,4.0,10,1.0,random,0.5841194968553458
148,entropy,4.0,10,1.0,best,0.5841194968553458
149,entropy,5.0,sqrt,2.0,best,0.5841194968553458
150,entropy,5.0,sqrt,3.0,best,0.5841194968553458
151,entropy,5.0,,5.0,best,0.5841194968553458
152,entropy,5.0,1,1.0,random,0.5841194968553458
153,entropy,5.0,log2,5.0,random,0.5841194968553458
154,gini,3.0,log2,3.0,random,0.5841194968553458
155,gini,3.0,log2,3.0,best,0.5841194968553458
156,entropy,5.0,,1.0,best,0.5841194968553458
157,entropy,5.0,,1.0,random,0.5841194968553458
158,entropy,5.0,,2.0,best,0.5841194968553458
159,entropy,5.0,,2.0,random,0.5841194968553458
160,entropy,5.0,sqrt,3.0,random,0.5841194968553458
161,entropy,5.0,,3.0,best,0.5841194968553458
162,entropy,5.0,,3.0,random,0.5841194968553458
163,entropy,5.0,1,1.0,best,0.5841194968553458
164,gini,3.0,log2,2.0,random,0.5841194968553458
165,entropy,5.0,,4.0,best,0.5841194968553458
166,entropy,5.0,,4.0,random,0.5841194968553458
167,entropy,5.0,log2,5.0,best,0.5841194968553458
168,entropy,5.0,1,2.0,best,0.5841194968553458
169,entropy,5.0,log2,4.0,random,0.5841194968553458
170,entropy,5.0,log2,4.0,best,0.5841194968553458
171,entropy,5.0,log2,3.0,random,0.5841194968553458
172,entropy,5.0,log2,3.0,best,0.5841194968553458
173,entropy,5.0,log2,2.0,random,0.5841194968553458
174,entropy,5.0,log2,2.0,best,0.5841194968553458
175,entropy,5.0,log2,1.0,random,0.5841194968553458
176,entropy,5.0,log2,1.0,best,0.5841194968553458
177,gini,3.0,log2,4.0,best,0.5841194968553458
178,gini,3.0,,2.0,random,0.5841194968553458
179,gini,3.0,log2,4.0,random,0.5841194968553458
180,entropy,5.0,sqrt,5.0,random,0.5841194968553458
181,entropy,5.0,sqrt,5.0,best,0.5841194968553458
182,entropy,5.0,sqrt,4.0,random,0.5841194968553458
183,entropy,5.0,sqrt,4.0,best,0.5841194968553458
184,gini,3.0,,2.0,best,0.5841194968553458
185,gini,4.0,log2,3.0,best,0.5841194968553458
186,entropy,4.0,1,5.0,random,0.5841194968553458
187,entropy,4.0,sqrt,5.0,best,0.5841194968553458
188,entropy,4.0,auto,2.0,random,0.5841194968553458
189,entropy,4.0,auto,3.0,best,0.5841194968553458
190,entropy,4.0,auto,3.0,random,0.5841194968553458
191,entropy,4.0,auto,4.0,best,0.5841194968553458
192,entropy,4.0,auto,4.0,random,0.5841194968553458
193,entropy,4.0,auto,5.0,best,0.5841194968553458
194,entropy,4.0,auto,5.0,random,0.5841194968553458
195,gini,3.0,,5.0,random,0.5841194968553458
196,entropy,4.0,sqrt,1.0,best,0.5841194968553458
197,entropy,4.0,sqrt,1.0,random,0.5841194968553458
198,entropy,4.0,sqrt,2.0,best,0.5841194968553458
199,entropy,4.0,sqrt,2.0,random,0.5841194968553458
200,entropy,4.0,sqrt,3.0,best,0.5841194968553458
201,entropy,4.0,sqrt,3.0,random,0.5841194968553458
202,entropy,4.0,sqrt,4.0,best,0.5841194968553458
203,entropy,4.0,auto,2.0,best,0.5841194968553458
204,entropy,4.0,auto,1.0,random,0.5841194968553458
205,entropy,4.0,auto,1.0,best,0.5841194968553458
206,entropy,3.0,10,1.0,random,0.5841194968553458
207,entropy,3.0,1,4.0,best,0.5841194968553458
208,entropy,3.0,1,4.0,random,0.5841194968553458
209,entropy,3.0,1,5.0,best,0.5841194968553458
210,entropy,3.0,1,5.0,random,0.5841194968553458
211,gini,3.0,1,1.0,best,0.5841194968553458
212,entropy,3.0,10,1.0,best,0.5841194968553458
213,entropy,3.0,10,2.0,best,0.5841194968553458
214,entropy,3.0,10,5.0,random,0.5841194968553458
215,entropy,3.0,10,2.0,random,0.5841194968553458
216,entropy,3.0,10,3.0,best,0.5841194968553458
217,entropy,3.0,10,3.0,random,0.5841194968553458
218,entropy,3.0,10,4.0,best,0.5841194968553458
219,entropy,3.0,10,4.0,random,0.5841194968553458
220,entropy,3.0,10,5.0,best,0.5841194968553458
221,entropy,4.0,sqrt,4.0,random,0.5841194968553458
222,entropy,4.0,sqrt,5.0,random,0.5841194968553458
223,entropy,4.0,1,5.0,best,0.5841194968553458
224,gini,3.0,,5.0,best,0.5841194968553458
225,entropy,4.0,,3.0,random,0.5841194968553458
226,entropy,4.0,,4.0,best,0.5841194968553458
227,entropy,4.0,,4.0,random,0.5841194968553458
228,entropy,4.0,,5.0,best,0.5841194968553458
229,entropy,4.0,,5.0,random,0.5841194968553458
230,gini,3.0,,3.0,best,0.5841194968553458
231,entropy,4.0,1,1.0,best,0.5841194968553458
232,entropy,4.0,1,1.0,random,0.5841194968553458
233,entropy,4.0,1,2.0,best,0.5841194968553458
234,entropy,4.0,1,2.0,random,0.5841194968553458
235,entropy,4.0,1,3.0,best,0.5841194968553458
236,entropy,4.0,1,3.0,random,0.5841194968553458
237,entropy,5.0,1,5.0,random,0.5841194968553458
238,entropy,4.0,1,4.0,best,0.5841194968553458
239,entropy,4.0,1,4.0,random,0.5841194968553458
240,entropy,4.0,,3.0,best,0.5841194968553458
241,entropy,4.0,,2.0,random,0.5841194968553458
242,entropy,4.0,,2.0,best,0.5841194968553458
243,entropy,4.0,log2,3.0,random,0.5841194968553458
244,gini,3.0,,4.0,random,0.5841194968553458
245,entropy,4.0,log2,1.0,best,0.5841194968553458
246,entropy,4.0,log2,1.0,random,0.5841194968553458
247,entropy,4.0,log2,2.0,best,0.5841194968553458
248,entropy,4.0,log2,2.0,random,0.5841194968553458
249,entropy,4.0,log2,3.0,best,0.5841194968553458
250,entropy,4.0,log2,4.0,best,0.5841194968553458
251,entropy,4.0,,1.0,random,0.5841194968553458
252,entropy,4.0,log2,4.0,random,0.5841194968553458
253,entropy,4.0,log2,5.0,best,0.5841194968553458
254,entropy,4.0,log2,5.0,random,0.5841194968553458
255,gini,3.0,,4.0,best,0.5841194968553458
256,gini,3.0,,3.0,random,0.5841194968553458
257,entropy,4.0,,1.0,best,0.5841194968553458
258,entropy,5.0,1,5.0,best,0.5841194968553458
259,entropy,5.0,10,1.0,best,0.5841194968553458
260,gini,3.0,log2,2.0,best,0.5841194968553458
261,entropy,,sqrt,5.0,random,0.5841194968553458
262,entropy,,sqrt,2.0,best,0.5841194968553458
263,entropy,,sqrt,2.0,random,0.5841194968553458
264,entropy,,sqrt,3.0,best,0.5841194968553458
265,entropy,,sqrt,3.0,random,0.5841194968553458
266,entropy,,sqrt,4.0,best,0.5841194968553458
267,entropy,,sqrt,4.0,random,0.5841194968553458
268,entropy,,sqrt,5.0,best,0.5841194968553458
269,gini,3.0,auto,4.0,best,0.5841194968553458
270,entropy,10.0,10,3.0,best,0.5841194968553458
271,gini,3.0,auto,3.0,random,0.5841194968553458
272,entropy,,log2,1.0,best,0.5841194968553458
273,entropy,,log2,1.0,random,0.5841194968553458
274,entropy,,log2,2.0,best,0.5841194968553458
275,entropy,,log2,2.0,random,0.5841194968553458
276,entropy,,log2,3.0,best,0.5841194968553458
277,entropy,,log2,3.0,random,0.5841194968553458
278,entropy,,sqrt,1.0,random,0.5841194968553458
279,entropy,,sqrt,1.0,best,0.5841194968553458
280,gini,3.0,auto,4.0,random,0.5841194968553458
281,gini,3.0,auto,5.0,best,0.5841194968553458
282,entropy,10.0,10,4.0,best,0.5841194968553458
283,entropy,10.0,10,4.0,random,0.5841194968553458
284,entropy,10.0,10,5.0,best,0.5841194968553458
285,entropy,10.0,10,5.0,random,0.5841194968553458
286,gini,3.0,auto,5.0,random,0.5841194968553458
287,entropy,,auto,1.0,best,0.5841194968553458
288,entropy,,auto,1.0,random,0.5841194968553458
289,entropy,,auto,2.0,best,0.5841194968553458
290,entropy,,auto,2.0,random,0.5841194968553458
291,entropy,,auto,3.0,best,0.5841194968553458
292,entropy,,auto,3.0,random,0.5841194968553458
293,entropy,,auto,4.0,best,0.5841194968553458
294,entropy,,auto,4.0,random,0.5841194968553458
295,entropy,,auto,5.0,best,0.5841194968553458
296,entropy,,auto,5.0,random,0.5841194968553458
297,entropy,,log2,4.0,best,0.5841194968553458
298,entropy,,log2,4.0,random,0.5841194968553458
299,entropy,,log2,5.0,best,0.5841194968553458
300,entropy,,1,3.0,best,0.5841194968553458
301,entropy,,1,4.0,best,0.5841194968553458
302,entropy,,1,4.0,random,0.5841194968553458
303,entropy,,1,5.0,best,0.5841194968553458
304,entropy,,1,5.0,random,0.5841194968553458
305,gini,3.0,auto,1.0,random,0.5841194968553458
306,gini,3.0,auto,1.0,best,0.5841194968553458
307,entropy,,10,1.0,best,0.5841194968553458
308,entropy,,10,1.0,random,0.5841194968553458
309,entropy,,10,2.0,best,0.5841194968553458
310,entropy,,10,2.0,random,0.5841194968553458
311,entropy,,10,3.0,best,0.5841194968553458
312,entropy,,10,3.0,random,0.5841194968553458
313,entropy,,10,4.0,best,0.5841194968553458
314,entropy,,10,4.0,random,0.5841194968553458
315,entropy,,10,5.0,best,0.5841194968553458
316,entropy,,1,3.0,random,0.5841194968553458
317,entropy,,1,2.0,random,0.5841194968553458
318,entropy,,log2,5.0,random,0.5841194968553458
319,entropy,,1,2.0,best,0.5841194968553458
320,gini,3.0,auto,3.0,best,0.5841194968553458
321,gini,3.0,auto,2.0,random,0.5841194968553458
322,entropy,,,1.0,best,0.5841194968553458
323,entropy,,,1.0,random,0.5841194968553458
324,entropy,,,2.0,best,0.5841194968553458
325,entropy,,,2.0,random,0.5841194968553458
326,entropy,,,3.0,best,0.5841194968553458
327,entropy,,,3.0,random,0.5841194968553458
328,entropy,,,4.0,best,0.5841194968553458
329,entropy,,,4.0,random,0.5841194968553458
330,entropy,,,5.0,best,0.5841194968553458
331,entropy,,,5.0,random,0.5841194968553458
332,gini,3.0,auto,2.0,best,0.5841194968553458
333,entropy,,1,1.0,best,0.5841194968553458
334,entropy,,1,1.0,random,0.5841194968553458
335,entropy,10.0,10,3.0,random,0.5841194968553458
336,entropy,10.0,10,2.0,random,0.5841194968553458
337,gini,3.0,log2,1.0,random,0.5841194968553458
338,entropy,10.0,sqrt,2.0,best,0.5841194968553458
339,entropy,10.0,auto,4.0,random,0.5841194968553458
340,entropy,10.0,auto,5.0,best,0.5841194968553458
341,entropy,10.0,auto,5.0,random,0.5841194968553458
342,gini,3.0,sqrt,5.0,best,0.5841194968553458
343,gini,3.0,sqrt,4.0,random,0.5841194968553458
344,entropy,10.0,sqrt,1.0,best,0.5841194968553458
345,entropy,10.0,sqrt,1.0,random,0.5841194968553458
346,entropy,10.0,sqrt,2.0,random,0.5841194968553458
347,entropy,10.0,10,2.0,best,0.5841194968553458
348,entropy,10.0,sqrt,3.0,best,0.5841194968553458
349,entropy,10.0,sqrt,3.0,random,0.5841194968553458
350,entropy,10.0,sqrt,4.0,best,0.5841194968553458
351,entropy,10.0,sqrt,4.0,random,0.5841194968553458
352,entropy,10.0,sqrt,5.0,best,0.5841194968553458
353,entropy,10.0,sqrt,5.0,random,0.5841194968553458
354,gini,3.0,sqrt,4.0,best,0.5841194968553458
355,entropy,10.0,auto,4.0,best,0.5841194968553458
